image,x1,y1,x2,y2,score,cls
0000001_02999_d_0000005.jpg,608.657,363.82373,708.37573,414.1721,0.9162218,3
0000001_02999_d_0000005.jpg,868.8071,569.5827,926.07434,664.7712,0.8983604,3
0000001_02999_d_0000005.jpg,877.7432,704.198,942.588,814.1146,0.8927797,3
0000001_02999_d_0000005.jpg,949.3359,591.37195,1010.85803,683.987,0.87327826,3
0000001_02999_d_0000005.jpg,744.46454,322.5462,826.5635,378.1554,0.83320296,3
0000001_02999_d_0000005.jpg,707.3064,343.75525,800.31934,410.17056,0.7287862,3
0000001_02999_d_0000005.jpg,783.5444,240.8041,821.3411,289.53693,0.64165,3
0000001_02999_d_0000005.jpg,972.8849,793.7906,996.8358,846.625,0.5917949,9
0000001_02999_d_0000005.jpg,620.7651,286.94812,743.05023,351.00894,0.5635708,5
0000001_02999_d_0000005.jpg,867.08734,406.28696,881.20465,441.77383,0.54132766,1
0000001_02999_d_0000005.jpg,580.58765,451.8091,596.9299,488.88678,0.5351871,0
0000001_02999_d_0000005.jpg,565.51166,723.667,621.3242,752.827,0.52545774,9
0000001_02999_d_0000005.jpg,405.9367,937.12885,464.16162,969.6463,0.455753,9
0000001_02999_d_0000005.jpg,658.61334,463.46567,704.48065,491.32303,0.44385466,9
0000001_02999_d_0000005.jpg,604.90686,682.5951,653.86536,715.28894,0.440222,9
0000001_02999_d_0000005.jpg,797.46375,513.3348,819.64984,554.457,0.4280585,9
0000001_02999_d_0000005.jpg,488.6135,456.20038,531.946,482.94785,0.41217884,9
0000001_02999_d_0000005.jpg,357.90875,753.37714,414.65732,791.529,0.4021541,9
0000001_02999_d_0000005.jpg,671.02765,514.2842,731.48267,541.81415,0.39888132,9
0000001_02999_d_0000005.jpg,769.26495,289.98666,808.60565,330.9604,0.38720074,3
0000001_02999_d_0000005.jpg,843.43536,450.9001,860.18616,486.57416,0.38405743,9
0000001_02999_d_0000005.jpg,850.6656,128.59375,861.075,150.6555,0.37849388,9
0000001_02999_d_0000005.jpg,863.5594,319.68875,878.16534,354.50427,0.37783208,9
0000001_02999_d_0000005.jpg,620.5052,302.64075,738.0771,353.48547,0.37372422,5
